Scenario,Description,Long-run gold anchor (USD/oz),Production multiplier,Peak annual production (oz),Marmato steady-state cash cost (USD/oz),CMP AISC sales margin,Marmato ramp delay (years),Growth capex multiplier,Tax rate,Beta,WACC,Cost of equity,PV of mine-life FCFF (USD m),Risk-weighted growth projects (USD m),Enterprise value (USD m),Equity value (USD m),Intrinsic value per share (USD),Market price (USD),Upside / (downside) %
low,"Gold reverts toward the incentive price, the Marmato ramp slips a year and its post-expansion cost improvement only partly materialises, costs inflate faster than the deck, capital overruns and the tax rate is higher.",2700,0.9,450000,1500,0.33,1,1.2,0.38,1.55,0.1286075,0.14255,1085.5859705177245,87.74401384524928,1254.2331372356296,884.9331372356296,4.232104912652461,15.91,-73.39971770802978
base,Guidance-consistent delivery with a fading gold price.,3300,1.0,500000,1150,0.38,0,1.0,0.35,1.35,0.12165750000000002,0.13395,2821.34251717963,411.64281622521867,3432.140284196635,3062.840284196635,14.647729718778741,15.91,-7.933816978134878
high,"Gold stays structurally elevated, both expansions deliver on schedule, Marmato's bulk mining cost target is met or beaten and capital comes in on budget.",4000,1.08,540000,1000,0.42,0,0.95,0.32,1.2,0.116535,0.1275,4526.2172816982375,836.3239957189097,5668.881255695947,5299.581255695946,25.344721452395728,15.91,59.30057481078397
