Driver,Downside value per share (USD),Base value per share (USD),Upside value per share (USD),Swing (USD per share)
Long-run gold price (+/- $600/oz),9.365672543753494,14.647729718778741,20.166698147514417,10.801025603760923
Production (+/- 10%),13.47514621566202,14.647729718778741,15.651331760882394,2.176185545220374
Marmato steady-state cash cost (+/- $250/oz),13.596446581779144,14.647729718778741,15.68283238925036,2.086385807471215
Beta (+/- 0.20),13.878786117535585,14.647729718778741,15.479546746319555,1.60076062878397
Tax rate (+/- 3pp),13.943554126114455,14.647729718778741,15.34904784296657,1.4054937168521153
Segovia Owner cash cost (+/- 10%),14.173103123056027,14.647729718778741,15.12235631450146,0.9492531914454325
Marmato ramp delayed one year,13.800487738694095,14.647729718778741,14.647729718778741,0.8472419800846467
Growth capital (+/- 20%),14.234123501861797,14.647729718778741,15.05982797988324,0.8257044780214429
CMP AISC sales margin (+/- 5pp),14.269488295722896,14.647729718778741,15.025971141834587,0.756482846111691
