year,month,country,avg_temp_c,avg_temp_f
2012,3,Canada,2.81316,37.0637
2012,4,Canada,5.412,41.7416
2012,5,Canada,12.8592,55.1466
2012,6,Canada,16.46884,61.6439
2012,7,Canada,20.0602,68.1084
2012,8,Canada,19.0754,66.3357
2012,9,Canada,14.33468,57.8024
2012,10,Canada,7.62528,45.7255
2012,11,Canada,0.1764,32.3175
2012,12,Canada,-4.30568,24.2498
2013,1,Canada,-6.95268,19.4852
2013,2,Canada,-5.84096,21.4863
2013,3,Canada,-2.119,28.1858
2013,4,Canada,3.74128,38.7343
2013,5,Canada,12.73644,54.9256
2013,6,Canada,15.99184,60.7853
2013,7,Canada,19.2808,66.7054
2013,8,Canada,18.1648,64.6966
2013,9,Canada,14.71324,58.4838
